id;name;slug;type;name_with_type;code;parent_code;path;path_with_type
1;Outdoors;Product Corporate payment;Branding client-driven;4th Steel;Malta convergence;website;invoice Bike Loop;silver alarm infrastructure
2;Infrastructure;Card Refined Small;Cotton Technician zero;Technician;e-services Cambridgeshire;hacking;Motorway Account Communications;Savings Money
3;9(E.U.A.-9) open-source;Marketing Incredible 24/365;fuchsia Caribbean;payment Outdoors Cộng;24/365;deliverables enable Metal;Isle Chips Personal;logistical Czech
4;Ukraina Branding;Outdoors payment;Field;Dynamic transmit local;Hy;De-engineered Run;copying;Plastic Salad cyan
5;Bacon;Borders;Gloves;Table Philippines;compelling Dynamic;Buckinghamshire;parsing revolutionize;algorithm
6;Latvian;Intelligent transform Rial;methodical SDD;Borders innovate TCP;auxiliary;Vista Engineer;Lead;multi-byte Senior deposit
7;Chips global;Kids;SSL;Profit-focused;Kina Bacon;clicks-and-mortar Security;CSS;solutions coherent Unbranded
8;Village;Plastic Borders;Factors;withdrawal embrace;e-commerce payment Tuna;invoice Via reboot;ability state;EXE
9;Metal;Ports Trail;utilize;e-commerce;payment Bike GB;Refined Uganda;Infrastructure De-engineered Awesome;Rand complexity
10;data-warehouse parse hack;virtual Pound Bedfordshire;infrastructures;Cambridgeshire leading-edge;forecast hack Fantastic;Plastic;payment salmon;payment Center
