id;uuid;title;price;sale_price;percent_sale;image_url;scores;simple_content;other_info;role;created_date;modified_date;created_by;modified_by;data_size;comment
1;54764d84-e9c2-4aff-bc8d-39c2e85e2c77;payment;89737;11219;17;functionalities multi-byte;54;neural Synergistic;Rubber Personal;yellow salmon networks;2021-01-30T09:58:14;2021-01-29T16:43:40;connecting BEAC;EXE Berkshire;30679;Borders
2;8f650aaa-da79-4b11-bec8-466b516cd707;Brand;22447;44263;12;contextually-based intranet Computer;74;users SSL solution-oriented;primary Avon;RSS Customizable Incredible;2021-01-30T00:45:54;2021-01-29T16:53:04;drive West approach;synthesizing;7394;interactive purple
3;5e292fa3-7135-4c77-8053-b6ca9c5aa4dd;Cloned SCSI;44805;1509;54;Director Data Cambridgeshire;69;Rican program;Loan e-business;Tools;2021-01-29T20:47:40;2021-01-30T14:46:27;ROI Plastic connecting;Planner Maine Directives;52973;Avon
4;9b22e9f6-6879-4d98-96fb-f64bba932c87;Gloves Savings;99094;98474;75;Bedfordshire;76;Crossing B2B Sleek;Coordinator;quantify;2021-01-30T04:14:14;2021-01-30T10:50:39;Viaduct networks Automotive;Pakistan Computer;39190;interface
5;41873f43-2b83-40d2-9c14-06c526e10b51;archive Account Automotive;35893;27584;60;value-added leverage parsing;9;Summit calculate IB;Soft Rial Optimized;violet;2021-01-29T20:25:26;2021-01-30T09:40:24;users BCEAO Montana;cyan;64707;Afghanistan Account Lead
6;b1695316-94a7-4736-a3b6-deae556cf146;Fresh;23742;64315;40;bluetooth;98;navigating;Marketing Buckinghamshire JBOD;withdrawal;2021-01-30T11:30:00;2021-01-30T08:15:47;Zealand;redefine;11584;Shores
7;68a94b81-2b02-4f47-99ad-97c73008beb3;program withdrawal;88064;87534;14;IB Rustic;82;Oklahoma;deposit Texas;emulation;2021-01-30T00:12:32;2021-01-29T22:24:41;Granite Legacy Shoes;Account web-readiness;44519;Platinum Key
8;1b1a5fd2-14ee-4483-bba8-15b946b98792;Plastic Krona Macedonia;95973;38818;94;primary Rubber hacking;46;olive;Rial Analyst;Plastic magenta;2021-01-30T03:53:34;2021-01-30T13:10:01;Cheese;Bahraini;13367;Tuna wireless
9;9ec5087e-0d35-420f-82e3-9d5cde30d4c8;Shirt;22898;93593;88;Corporate enhance;94;synthesize;open-source;support intangible cyan;2021-01-29T19:37:02;2021-01-30T04:30:37;Specialist;Avon Dynamic invoice;78698;Buckinghamshire interface bus
10;d8e8d959-010a-44e7-afd8-57c3e39cbed5;Botswana;34127;46088;98;Money metrics Consultant;30;connect;Assistant Auto real-time;Bedfordshire;2021-01-30T07:37:26;2021-01-30T09:57:14;Usability programming back-end;Corporate auxiliary;72861;core architecture Towels
